Country,Year,Production (tonnes),Exports (tonnes),Domestic_consumption (tonnes),Gross_opening_stocks (tonnes),imports (tonnes),Re_exports (US dollar per kg),Price_grower (US dollar per kg),Price_retail (US dollar per kg),Consumption (tonnes),Country_code,Latitude,Longitude,Country_type,Continent,Population
Angola,1990,3020.7,5061.0,1200.0,12600.0,,,,,,AO,-11.202692,17.873887,producer,Africa,11828638.0
Angola,1991,4759.86,4230.06,1800.0,9660.0,,,,,,AO,-11.202692,17.873887,producer,Africa,12228691.0
Angola,1992,4651.2,4815.0,2100.0,8160.0,,,,,,AO,-11.202692,17.873887,producer,Africa,12632507.0
Angola,1993,1956.48,2332.68,1200.0,6660.0,,,,,,AO,-11.202692,17.873887,producer,Africa,13038270.0
Angola,1994,4608.12,498.12,1500.0,5760.0,,,,,,AO,-11.202692,17.873887,producer,Africa,13462031.0
Angola,1995,3726.54,2433.54,600.0,8160.0,,,,,,AO,-11.202692,17.873887,producer,Africa,13912253.0
Angola,1996,4255.5,3109.86,1200.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,14383350.0
Angola,1997,3859.8,3029.64,2400.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,14871146.0
Angola,1998,5120.64,3235.74,1800.0,6600.0,,,,,,AO,-11.202692,17.873887,producer,Africa,15366864.0
Angola,1999,3296.34,3006.84,1200.0,6600.0,,,,,,AO,-11.202692,17.873887,producer,Africa,15870753.0
Angola,2000,2987.1,1290.3,1200.0,6300.0,,,,,,AO,-11.202692,17.873887,producer,Africa,16394062.0
Angola,2001,1241.4,855.0,1200.0,6900.0,,,,,,AO,-11.202692,17.873887,producer,Africa,16941587.0
Angola,2002,3398.4,560.7,1200.0,6300.0,,,,,,AO,-11.202692,17.873887,producer,Africa,17516139.0
Angola,2003,2280.78,1037.88,900.0,7800.0,,,,,,AO,-11.202692,17.873887,producer,Africa,18124342.0
Angola,2004,886.2,340.2,900.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,18771125.0
Angola,2005,1497.9,279.9,900.0,8100.0,,,,,,AO,-11.202692,17.873887,producer,Africa,19450959.0
Angola,2006,2105.7,324.6,1800.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,20162340.0
Angola,2007,2137.86,234.96,1800.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,20909684.0
Angola,2008,2256.6,366.3,1800.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,21691522.0
Angola,2009,805.2,415.5,1800.0,8400.0,,,,,,AO,-11.202692,17.873887,producer,Africa,22507674.0
Angola,2010,2098.2,262.2,1800.0,7200.0,,,,,,AO,-11.202692,17.873887,producer,Africa,23364185.0
Angola,2011,1722.9,454.5,1800.0,7200.0,,,,,,AO,-11.202692,17.873887,producer,Africa,24259111.0
Angola,2012,1967.4,502.5,1800.0,6600.0,,,1.26,,,AO,-11.202692,17.873887,producer,Africa,25188292.0
Angola,2013,2096.1,331.2,1800.0,6300.0,,,0.83,,,AO,-11.202692,17.873887,producer,Africa,26147002.0
Angola,2014,2364.3,562.5,1800.0,6300.0,,,1.2,,,AO,-11.202692,17.873887,producer,Africa,27128337.0
Angola,2015,2430.9,630.9,1800.0,6300.0,,,1.01,,,AO,-11.202692,17.873887,producer,Africa,28127721.0
Angola,2016,2689.8,656.7,1800.0,6300.0,,,2.21,,,AO,-11.202692,17.873887,producer,Africa,29154746.0
