Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Angola,1990,50.345,84.35,20.0,210.0,,,,,Brazilan Naturals,,AO,-11.202692,17.873887,5061.0,1200.0,3020.7,
Angola,1990,50.345,84.35,20.0,210.0,,,,,Robustas,85.6569,AO,-11.202692,17.873887,5061.0,1200.0,3020.7,0.8565689999999999
Bolivia (Plurinational State of),1990,122.777,156.442,25.0,54.0,,,,,Other Milds,51.7802,,,,9386.52,1500.0,7366.62,0.517802
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,,,,,Brazilan Naturals,54.3248,BR,-14.235004,-51.92528,1016147.256018,492000.0,1637137.716,0.5432480000000001
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,,,,,Robustas,34.8486,BR,-14.235004,-51.92528,1016147.256018,492000.0,1637137.716,0.34848599999999996
Burundi,1990,487.393,584.773,2.0,77.0,,,,,Other Milds,58.0195,BI,-3.3730559999999996,29.918885999999997,35086.380000000005,120.0,29243.579999999998,0.580195
Burundi,1990,487.393,584.773,2.0,77.0,,,,,Robustas,,BI,-3.3730559999999996,29.918885999999997,35086.380000000005,120.0,29243.579999999998,
Ecuador,1990,1503.815,1783.7159997,350.0,723.963,,,,,Other Milds,35.2113,EC,-1.831239,-78.183406,107022.959982,21000.0,90228.90000000001,0.352113
Ecuador,1990,1503.815,1783.7159997,350.0,723.963,,,,,Robustas,19.0602,EC,-1.831239,-78.183406,107022.959982,21000.0,90228.90000000001,0.190602
Indonesia,1990,7441.383,6903.2269994,1242.0,1319.0,,,,,Brazilan Naturals,,ID,-0.789275,113.921327,414193.619964,74520.0,446482.98,
Indonesia,1990,7441.383,6903.2269994,1242.0,1319.0,,,,,Robustas,29.6807,ID,-0.789275,113.921327,414193.619964,74520.0,446482.98,0.29680700000000004
Madagascar,1990,982.447,863.0399999,350.0,544.0,,,,,Other Milds,,MG,-18.766947,46.869107,51782.399994,21000.0,58946.82,
Madagascar,1990,982.447,863.0399999,350.0,544.0,,,,,Robustas,32.4545,MG,-18.766947,46.869107,51782.399994,21000.0,58946.82,0.32454500000000003
Malawi,1990,104.628,124.154,2.0,20.0,,,,,Other Milds,84.873,MW,-13.254307999999998,34.301525,7449.24,120.0,6277.68,0.8487300000000001
Papua New Guinea,1990,962.841,1050.719,3.0,199.0,,,,,Other Milds,65.5004,PG,-6.314993,143.95555,63043.14,180.0,57770.46,0.655004
Papua New Guinea,1990,962.841,1050.719,3.0,199.0,,,,,Robustas,26.5984,PG,-6.314993,143.95555,63043.14,180.0,57770.46,0.265984
Peru,1990,936.632,1105.078,190.0,318.0,,,,,Other Milds,90.3729,PE,-9.189967,-75.015152,66304.68,11400.0,56197.92,0.903729
Rwanda,1990,534.875,779.15,1.0,134.0,,,,,Other Milds,74.2047,RW,-1.940278,29.873888,46749.0,60.0,32092.5,0.742047
Zimbabwe,1990,251.901,250.772,8.0,160.0,,,,,Other Milds,,ZW,-19.015438,29.154857,15046.32,480.0,15114.060000000001,
Congo,1990,2.924,1.68,3.0,12.0,,,,,Robustas,19.2087,,,,100.8,180.0,175.44,0.192087
