Country,Year,Production (tonnes),Exports (tonnes),Domestic_consumption (tonnes),Gross_opening_stocks (tonnes),imports (tonnes),Re_exports (US dollar per kg),Price_grower (US dollar per kg),Price_retail (US dollar per kg),Consumption (tonnes),Country_code,Latitude,Longitude,Country_type,Continent
Angola,1990,3020.7,5061,1200,12600,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1991,4759.86,4230.06,1800,9660,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1992,4651.2,4815,2100,8160,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1993,1956.48,2332.68,1200,6660,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1994,4608.12,498.12,1500,5760,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1995,3726.54,2433.54,600,8160,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1996,4255.5,3109.86,1200,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1997,3859.8,3029.64,2400,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1998,5120.64,3235.74,1800,6600,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,1999,3296.34,3006.84,1200,6600,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2000,2987.1,1290.3,1200,6300,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2001,1241.4,855,1200,6900,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2002,3398.4,560.7,1200,6300,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2003,2280.78,1037.88,900,7800,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2004,886.2,340.2,900,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2005,1497.9,279.9,900,8100,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2006,2105.7,324.6,1800,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2007,2137.86,234.96,1800,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2008,2256.6,366.3,1800,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2009,805.2,415.5,1800,8400,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2010,2098.2,262.2,1800,7200,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2011,1722.9,454.5,1800,7200,0,0,0,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2012,1967.4,502.5,1800,6600,0,0,1.26,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2013,2096.1,331.2,1800,6300,0,0,0.83,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2014,2364.3,562.5,1800,6300,0,0,1.2,0,0,AO,-11.202692,17.873887,producer,Africa
Angola,2015,2430.9,630.9,1800,6300,0,0,1.01,0,0,AO,-11.202692,17.873887,producer,Africa
